keyword,volume,kd,cpc,intent
service titan go,14800,10,15.0,navigational
japanese maple for bonsai,12100,0,0.5,informational
bonsai fertilizers,12100,0,0.7,transactional
japanese acer bonsai,12100,0,0.5,transactional
fertilizer for bonsai tree,12100,0,0.7,transactional
japanese maple acer palmatum bonsai,12100,0,0.5,informational
bonsai tree japanese maple,12100,0,0.5,informational
japanese maple bonsai,12100,0,0.5,informational
bonsai tree dirt,12100,0,0.6,transactional
japanese maple acer bonsai tree,12100,0,0.5,informational
pacific bonsai museum,12100,3,4.8,navigational
fertilizing bonsai trees,12100,0,0.7,informational
fertilize bonsai,12100,0,0.7,informational
bonsai with japanese maples,12100,0,0.5,informational
japanese green maple bonsai,12100,0,0.5,informational
bonsai soils,12100,0,0.6,informational
pacific bonsai,12100,4,4.8,informational
soil for bonsai trees,12100,0,0.6,transactional
bonsai tree fertilizer,12100,0,0.7,transactional
bonsai dirt,12100,0,0.6,transactional
fertilizers for bonsai,12100,0,0.7,transactional
soil for a bonsai tree,12100,0,0.6,informational
bonsai museum,12100,25,4.8,informational
japanese maple bonsai tree acer palmatum,12100,0,0.5,informational
fertilizing bonsai,12100,0,0.7,informational
japan green maple bonsai,12100,0,0.5,informational
bonsai tree fertiliser,12100,0,0.7,transactional
bonsai fertilization,12100,0,0.7,informational
bonsai potter,9900,0,0.8,informational
bonsai upkeep,9900,4,0.3,informational
ficus bonsai tree,9900,0,0.5,informational
pots for bonsai,9900,0,0.8,transactional
ficus bonsai,9900,0,0.5,transactional
bonsai tree plant,9900,30,0.7,transactional
bonsai soil mixture,9900,0,0.7,transactional
bonsai plants bonsai,9900,21,0.7,transactional
bonsai flower pots,9900,0,0.8,transactional
planted bonsai,9900,0,0.7,informational
pots for bonsai trees,9900,0,0.8,transactional
bonsai pottery,9900,12,0.8,transactional
planting bonsai,9900,0,0.7,informational
mixing bonsai soil,9900,0,0.7,informational
bonsai pots,9900,2,0.8,transactional
bonsai tree in pot,9900,10,0.8,informational
bonsai in pot,9900,1,0.8,informational
bonsai planter pots,9900,0,0.8,transactional
bonsai plant pot,9900,6,0.8,transactional
bonsai soil mixes,9900,0,0.7,transactional
bonsai in a pot,9900,0,0.8,informational
bonsai how to care,9900,6,0.3,informational
bonsai soil mix,9900,0,0.7,transactional
bonsai plants and,9900,23,0.7,informational
bonsai planter,9900,0,0.8,transactional
soil mix for bonsai,9900,0,0.7,informational
bonsai en pot,9900,2,0.8,transactional
bonsai container,9900,0,0.8,transactional
golden gate ficus bonsai tree,8100,0,0.7,informational
bonsai tree nursery,8100,23,0.9,commercial
bonsai nursery plants,8100,22,0.9,transactional
bonsai nurseries,8100,11,0.9,commercial
bonsai nursery,8100,11,0.9,commercial
bonsai ficus golden gate,8100,0,0.7,transactional
bonsai tree nurseries,8100,0,0.9,commercial
bonsai sushi,8100,11,1.1,informational
17hats,6600,12,37.0,informational
bonsai coffee bar,6600,1,1.0,navigational
bonsai beginner kit,6600,0,1.1,transactional
bonsai bamboo plant care,6600,0,0.1,informational
bonsai gardening,6600,3,0.7,informational
starter kit bonsai,6600,0,1.1,transactional
bonsai tree starter kit,6600,0,1.1,transactional
bonsai bar,6600,28,0.3,navigational
bonsai garden,6600,22,0.7,informational
jade bonsai trees,6600,0,0.4,transactional
national bonsai & penjing museum,6600,26,0.3,navigational
bonsai trees chinese elm,6600,0,0.7,informational
bonsai chinese elm,6600,0,0.7,informational
jade bonsai,6600,0,0.4,transactional
bonsai rock,6600,0,0.1,informational
chinese elm ulmus parvifolia bonsai,6600,0,0.7,informational
lego bonsai,6600,19,0.2,transactional
bonsai ulmus parvifolia,6600,2,0.7,transactional
chinese elm for bonsai,6600,0,0.7,informational
honeybook login,5400,5,123.8,navigational
bonsai plant types,5400,3,0.3,informational
species of bonsai trees,5400,3,0.3,informational
bonsai pruning tools,5400,0,0.7,transactional
bonsai beginnings,5400,2,1.0,informational
bonsai tree kinds,5400,3,0.3,informational
bonsai tree type,5400,8,0.3,informational
bonsai trees beginners,5400,0,1.0,informational
bonsai trees species,5400,4,0.3,informational
bonsai tree variety,5400,0,0.3,informational
bonsai trees for dummies,5400,11,1.0,informational
types of trees for bonsai,5400,0,0.3,informational
beginner bonsai,5400,0,1.0,informational
black pine bonsai tree,5400,0,0.5,transactional
variety of bonsai trees,5400,0,0.3,informational
types of bonsai tree,5400,0,0.3,informational
types of bonsai trees species,5400,3,0.3,informational
type of bonsai plants,5400,3,0.3,informational
type bonsai,5400,3,0.3,informational
bonsai tree for beginners,5400,0,1.0,informational
bonsai trimming tools,5400,0,0.7,transactional
bonsai black pine,5400,3,0.5,transactional
kinds of bonsai plants,5400,4,0.3,informational
bonsai tree breeds,5400,3,0.3,informational
bonsai tree pruning tools,5400,0,0.7,transactional
japanese black pine bonsai tree,5400,0,0.5,informational
bonsai japanese black pine,5400,0,0.5,transactional
bonsai for beginners,5400,0,1.0,informational
japan black pine bonsai,5400,0,0.5,informational
bonsai for starters,5400,9,1.0,informational
bonsai tree trimming tools,5400,0,0.7,transactional
type of bonsai,5400,3,0.3,informational
bonsai sp,5400,19,0.3,informational
bonsai tree varieties,5400,0,0.3,informational
tree species for bonsai,5400,3,0.3,informational
bonsai species,5400,3,0.3,informational
species of bonsai,5400,3,0.3,informational
small business client management software,5400,35,62.3,commercial
crm for small business,4400,31,63.8,commercial
crm for a small business,4400,31,63.8,commercial
crm packages for small business,4400,31,63.8,commercial
inside bonsai tree,4400,0,1.0,informational
lego bonsai tree set 10281,4400,5,0.2,transactional
bonsai tree wire,4400,0,0.8,transactional
indoor bonsai tree,4400,0,1.0,transactional
wiring a bonsai,4400,0,0.8,informational
weeping willow bonsai,4400,0,0.3,informational
wire for bonsai trees,4400,0,0.8,transactional
wisteria bonsai tree,4400,0,0.3,informational
bonsai japanese steakhouse,4400,0,1.1,navigational
lego bonsai tree 10281,4400,9,0.5,transactional
wisteria plant bonsai,4400,0,0.3,informational
bonsai wire,4400,0,0.8,transactional
wire for bonsai,4400,0,0.8,transactional
sakura cherry blossom bonsai tree,4400,0,0.4,informational
indoor bonsai plant,4400,0,1.0,transactional
wiring bonsai,4400,0,0.8,transactional
bonsai tree wiring,4400,0,0.8,transactional
cherry blossom bonsai tree,4400,0,0.4,informational
bonsai tree for indoor,4400,0,1.0,informational
wisteria bonsai,4400,0,0.3,transactional
bonsai coffee,4400,0,0.7,transactional
weeping willow bonsai trees,4400,0,0.3,informational
indoor plants for bonsai,4400,0,1.0,informational
cherry blossom bonsai,4400,0,0.4,transactional
bonsai japanese steak house,4400,0,1.1,navigational
sakura cherry blossom bonsai,4400,0,0.4,informational
wisteria as bonsai,4400,0,0.3,informational
bonsai shaping wire,4400,0,0.8,transactional
wiring for bonsai,4400,0,0.8,informational
jobber sign in,4400,24,14.9,navigational
jobber price,4400,6,15.7,informational
jobber pricing,4400,6,15.7,commercial
cloud based field service management software,4400,16,2.7,commercial
field service management software cloud,4400,20,2.7,commercial
example of crm software,3600,13,13.0,commercial
good crm software,3600,34,41.9,commercial
crm software examples,3600,13,13.0,commercial
best crm management software,3600,27,41.9,commercial
popular crm software,3600,32,41.9,commercial
sample crm software,3600,17,13.0,commercial
best crm software,3600,27,41.9,commercial
top ranked crm software,3600,34,41.9,commercial
acer bonsai trees,3600,0,0.5,transactional
how to look after bonsai trees,3600,11,0.3,informational
bonsai sparkling water,3600,0,0.4,transactional
bonsai brewery whitefish montana,3600,2,3.3,navigational
how to care for a bonsai plant,3600,12,0.3,informational
japanese tree bonsai,3600,17,0.5,informational
brussel bonsai,3600,0,1.0,informational
bonsai tree how to take care,3600,8,0.3,informational
how to care for bonsai plants,3600,5,0.3,informational
definition of bonsai tree,3600,10,0.7,informational
brussel's bonsai tree,3600,7,1.0,informational
how to take care of bonsai trees,3600,6,0.3,informational
willow bonsai tree,3600,0,0.3,informational
bonsai grow lights,3600,0,0.7,transactional
restaurant bonsai,3600,18,0.9,navigational
bonsai thai and sushi,3600,0,0.9,navigational
grow light for bonsai,3600,0,0.7,informational
bonsai plants meaning,3600,6,0.7,informational
bonsai significance,3600,6,0.7,informational
bonsai brewing project,3600,2,3.3,informational
meaning of bonsai tree,3600,4,0.7,informational
how to care bonsai plant,3600,4,0.3,informational
bonsai trees japan,3600,7,0.5,informational
bonsai tree grow light,3600,0,0.7,informational
bonsai trees maple,3600,0,0.5,informational
how to care for bonsai tree,3600,14,0.3,informational
bonsai growing light,3600,0,0.7,informational
best client relationship management software,3600,27,41.9,commercial
best crm for a small business,2900,26,57.6,commercial
best crm software for a small business,2900,28,57.6,commercial
best crm solution for small business,2900,31,57.6,commercial
good crm software for small business,2900,35,57.6,commercial
software crm microsoft,2900,33,19.0,commercial
crm software for realtors,2900,25,37.7,commercial
operational crm software,2400,8,50.0,commercial
dubsado login,2400,7,0.2,navigational
what is a jobber,2400,7,16.4,informational
jobber meaning,2400,0,0,informational
jobber application,2400,18,14.4,navigational
jobber apps,2400,18,14.4,navigational
meaning of jobber,2400,2,0,informational
what is jobber,2400,19,16.4,informational
crm software free,1900,35,52.5,commercial
free software for crm,1900,35,52.5,commercial
dynamics crm software,1900,34,24.0,commercial
crm system software free,1900,35,52.5,commercial
honeybook price,1900,0,3.0,commercial
honeybook pricing,1900,12,3.0,commercial
housecall pro sign in,1900,26,11.1,navigational
free client relationship management software,1900,32,52.5,commercial
free software for client management,1900,25,52.5,commercial
free crm for small business,1600,27,61.4,commercial
titan service centre near me,1600,0,0,navigational
titan service center near me,1600,0,0,navigational
act software crm,1300,28,15.3,commercial
jobber software,1300,27,33.9,commercial
jobber customer service,1300,22,18.8,navigational
housecall pro career,1300,11,5.1,navigational
housecall pro pricing,1300,13,15.2,commercial
housecall pro price,1300,13,15.2,commercial
attack on titan streaming service,1300,19,10.2,informational
what is service titan,1300,18,36.1,informational
nonprofit crm software,1000,23,59.8,commercial
crm software for not for profits,1000,23,59.8,commercial
sap crm software,1000,30,17.1,commercial
17hats login,1000,8,0,navigational
monday com crm,1000,20,13.8,navigational
zoho crm for small business,880,31,2.9,commercial
crm software for healthcare industry,880,0,64.9,commercial
healthcare crm software,880,12,64.9,commercial
crm software for healthcare,880,9,64.9,commercial
agile crm software,880,24,49.1,commercial
jobber vs housecall pro,880,0,66.6,informational
jobber com login,880,24,19.1,navigational
jobber grant,880,3,9.7,informational
get jobber login,880,26,15.1,navigational
jobber core plan,880,2,20.7,informational
monday crm pricing,880,17,15.0,commercial
monday crm price,880,17,15.0,informational
top crm software,720,32,27.5,commercial
biggest crm software,720,35,27.5,commercial
crm software quickbooks,720,0,38.2,commercial
netsuite crm software,720,26,65.6,commercial
crm software for quickbooks,720,3,38.2,commercial
jobber def,720,10,18.5,informational
pro wrestling jobber,720,0,0,transactional
jobber in wrestling,720,3,0,informational
jobber drill bit,720,0,4.0,transactional
definition jobber,720,8,18.5,informational
jobber wrestlers,720,0,0,informational
jobber review,720,3,26.8,informational
wrestling jobber,720,0,0,transactional
define jobber,720,8,18.5,informational
definition of jobber,720,0,18.5,informational
housecall pro reviews,720,11,20.4,informational
titan auto service,720,1,4.3,navigational
titan tree service,720,9,6.1,navigational
software client management,720,20,49.7,commercial
software for client management,720,20,49.7,commercial
field service management software for hvac,720,5,243.2,navigational
hvac field service management software,720,7,243.2,commercial
crm software recruitment,590,14,48.4,commercial
crm recruiting software,590,14,48.4,commercial
crm software for recruitment,590,33,48.4,commercial
nimble crm software,590,11,30.2,commercial
dubsado price,590,1,6.8,commercial
dubsado pricing,590,1,6.8,commercial
how much is jobber per month,590,0,22.6,informational
jobber field service management software,590,34,0,navigational
jobber crm,590,9,32.7,informational
jobber cost,590,13,25.8,informational
service titan prices,590,0,74.8,informational
service titan admin login,590,9,0,navigational
service titan costs,590,8,74.8,informational
cost of service titan,590,6,74.8,informational
service titan enterprise login,590,0,0,navigational
client management system software,590,20,25.0,commercial
servicetitan field service management software,590,6,0,navigational
crm software car dealerships,480,16,55.3,commercial
dealership crm software,480,12,55.3,commercial
best free crm software,480,35,43.9,commercial
crm software for construction,480,12,99.5,commercial
crm software sage,480,11,13.5,commercial
crm software for builders,480,11,99.5,commercial
auto dealership crm software,480,16,55.3,commercial
crm software customer service,480,23,108.7,commercial
car sales crm software,480,18,55.3,commercial
crm software for customer service,480,23,108.7,commercial
crm software wordpress,480,8,13.9,commercial
construction crm software,480,12,99.5,commercial
car dealer crm software,480,31,55.3,commercial
auto dealer crm software,480,16,55.3,commercial
dealer crm software,480,16,55.3,commercial
best crm software for free,480,34,43.9,commercial
crm insurance software,480,6,64.4,commercial
crm software most popular,480,25,45.2,commercial
crm software for car dealerships,480,16,55.3,commercial
automotive dealer crm software,480,16,55.3,commercial
crm software for car dealers,480,5,55.3,commercial
crm software for auto dealerships,480,0,55.3,commercial
crm software siebel,480,2,14.9,commercial
crm software for insurance,480,12,64.4,commercial
best freeware crm software,480,35,43.9,commercial
construction industry crm software,480,12,99.5,commercial
what is honeybook,480,11,11.0,informational
honeybook starter plan,480,2,0.9,navigational
jobber length drill bit,480,0,5.3,transactional
jobber customer service number,480,13,28.7,navigational
jobber phone number,480,9,0,navigational
jobber login page,480,27,28.5,navigational
jobber pricing plans,480,2,24.2,commercial
housecall pro app,480,22,12.4,navigational
housecall pro api,480,0,13.2,navigational
service titan stock price,480,0,0,informational
best client management software free,480,20,43.9,commercial
insurance client management software,480,18,64.4,commercial
mobile field service management software,480,8,84.0,commercial
field service management software small business,480,35,106.7,commercial
field service management software for small businesses,480,29,106.7,commercial
field service management software for small business,480,12,106.7,commercial
